id,subdir,filename,expected_doc_class,expected_stage,size_tier,source,license,notes,dataset
contract_01,contract,contract_01_affiliate_agreement.pdf,contract,archived,small,CUAD full_contract_pdf/Part_I/Affiliate_Agreements (CreditcardscomInc S-1 EX-10.33),CC-BY-4.0,Real SEC-exhibit affiliate agreement; 12 pages; text-based,original
contract_02,contract,contract_02_consulting_agreement.pdf,contract,archived,medium,CUAD full_contract_pdf/Part_II-A/Consulting Agreements (Global Technologies Ltd EX-10.16),CC-BY-4.0,Real consulting agreement; 7 pages,original
contract_03,contract,contract_03_service_agreement.pdf,contract,archived,large,CUAD full_contract_pdf/Part_I/Service (ReynoldsConsumerProducts S-1A EX-10.22),CC-BY-4.0,Real transition services agreement; 52 pages; large-token efficiency case,original
compliance_01,compliance_filing,compliance_01_10k_excerpt.pdf,compliance_filing,archived,large,compliance/10k_excerpt.txt,original (styled after a 10-K),Synthetic 10-K excerpt incl. risk factors + financial statements; exceeds classify truncation,original
compliance_02,compliance_filing,compliance_02_state_filing.pdf,compliance_filing,archived,small,compliance/state_filing.txt,original,State annual report filing,original
corporate_01,corporate_record,corporate_01_bylaws.pdf,corporate_record,archived,medium,corporate/bylaws.txt,original,Amended and restated bylaws,original
corporate_02,corporate_record,corporate_02_resolution.pdf,corporate_record,archived,small,corporate/resolution.txt,original,Unanimous written consent / board resolutions,original
correspondence_01,correspondence,correspondence_01_demand_letter.pdf,correspondence,archived,small,correspondence/demand_letter.txt,original,Notice of breach and demand for payment,original
correspondence_02,correspondence,correspondence_02_internal_memo.pdf,correspondence,archived,small,correspondence/internal_memo.txt,original,Internal legal memo re remedies analysis,original
due_diligence_01,due_diligence,due_diligence_01_dd_report.pdf,due_diligence,archived,medium,due_diligence/dd_report.txt,original,DD report with risk flags,original
due_diligence_02,due_diligence,due_diligence_02_checklist.pdf,due_diligence,archived,small,due_diligence/checklist.txt,original,DD checklist,original
ambiguous_01,ambiguous,ambiguous_01_mixed_memo.pdf,correspondence,review,small,ambiguous/mixed_memo.txt,original,Multi-topic memo; expects low confidence -> retry -> human review,original
legalbench_01,contract,legalbench_01_merger_agreement.pdf,contract,archived,small,external/legalbench/legalbench_01_merger_agreement.txt,CC-BY-4.0,"MAUD v1 contract_88: full merger agreement text underlying LegalBench maud_* tasks (Zenodo 10.5281/zenodo.7500064); SEC-sourced",legalbench
legalbench_02,contract,legalbench_02_merger_agreement.pdf,contract,archived,medium,external/legalbench/legalbench_02_merger_agreement.txt,CC-BY-4.0,"MAUD v1 contract_83: merger agreement underlying LegalBench maud_* tasks",legalbench
legalbench_03,contract,legalbench_03_merger_agreement.pdf,contract,archived,medium,external/legalbench/legalbench_03_merger_agreement.txt,CC-BY-4.0,"MAUD v1 contract_129: merger agreement underlying LegalBench maud_* tasks",legalbench
legalbench_04,contract,legalbench_04_merger_agreement.pdf,contract,archived,large,external/legalbench/legalbench_04_merger_agreement.txt,CC-BY-4.0,"MAUD v1 contract_71: merger agreement underlying LegalBench maud_* tasks",legalbench
legalbench_05,contract,legalbench_05_merger_agreement.pdf,contract,archived,large,external/legalbench/legalbench_05_merger_agreement.txt,CC-BY-4.0,"MAUD v1 contract_117: merger agreement underlying LegalBench maud_* tasks",legalbench
legalbench_06,contract,legalbench_06_merger_agreement.pdf,contract,archived,large,external/legalbench/legalbench_06_merger_agreement.txt,CC-BY-4.0,"MAUD v1 contract_68: merger agreement underlying LegalBench maud_* tasks",legalbench
